threshold,f1_macro,f1_toxic,precision_toxic,recall_toxic,precision_safe,recall_safe
0.74,0.7176590893062836,0.5060532687651331,0.9166666666666666,0.3494983277591973,0.873248615184099,0.9929603556872916
0.745,0.7164817821752129,0.5036496350364964,0.9241071428571429,0.34615384615384615,0.8727627725349821,0.993701370878103
0.75,0.712897915996177,0.4969400244798042,0.9269406392694064,0.3394648829431438,0.8716699155295646,0.9940718784735088
0.755,0.7098870969113183,0.4914004914004914,0.9259259259259259,0.33444816053511706,0.8708211619604025,0.9940718784735088
0.76,0.7045855976513399,0.4813895781637717,0.9326923076923077,0.32441471571906355,0.8692133376497249,0.9948128936643201
0.765,0.7025365400974403,0.47761194029850745,0.9320388349514563,0.3210702341137124,0.8686509220317049,0.9948128936643201
0.77,0.6994454756515516,0.47191011235955055,0.9310344827586207,0.31605351170568563,0.867808661926309,0.9948128936643201
0.775,0.6942464998327269,0.4623115577889447,0.9292929292929293,0.3076923076923077,0.8664085188770572,0.9948128936643201
0.78,0.6910983952195049,0.45649432534678436,0.9282051282051282,0.30267558528428096,0.8655705996131529,0.9948128936643201
0.785,0.687928447426044,0.4506329113924051,0.9270833333333334,0.2976588628762542,0.8647342995169082,0.9948128936643201
0.79,0.686179257431278,0.44726810673443457,0.9312169312169312,0.29431438127090304,0.8642213642213642,0.9951834012597258
0.795,0.6818947550259746,0.4393358876117497,0.9297297297297298,0.28762541806020064,0.8631105398457584,0.9951834012597258
0.8,0.6786549707602338,0.43333333333333335,0.9285714285714286,0.2826086956521739,0.8622792937399679,0.9951834012597258
0.805,0.6742995431880442,0.4252577319587629,0.9269662921348315,0.27591973244147155,0.8611734530298173,0.9951834012597258
0.81,0.672106342736887,0.42118863049095606,0.9261363636363636,0.2725752508361204,0.8606215956424224,0.9951834012597258
0.815,0.6695216461934288,0.41612483745123535,0.935672514619883,0.26755852842809363,0.8598848368522073,0.9959244164505372
0.82,0.6669039002092445,0.4109947643979058,0.9457831325301205,0.2625418060200669,0.8591504311721495,0.9966654316413487
0.825,0.6624059505981271,0.4026315789473684,0.9444444444444444,0.25585284280936454,0.8580542264752791,0.9966654316413487
0.83,0.6578641848426021,0.3941798941798942,0.9430379746835443,0.2491638795986622,0.8569608155463524,0.9966654316413487
0.835,0.6532778959406208,0.38563829787234044,0.9415584415584416,0.24247491638795987,0.85587018771874,0.9966654316413487
0.84,0.6463133978574285,0.3726541554959786,0.9391891891891891,0.23244147157190637,0.8542394410924102,0.9966654316413487
0.845,0.6392445913628011,0.35945945945945945,0.9366197183098591,0.22240802675585283,0.8526148969889065,0.9966654316413487
0.85,0.6323972390856571,0.34652114597544337,0.9407407407407408,0.21237458193979933,0.8510436432637571,0.9970359392367544
0.855,0.6299786763568419,0.34199726402188785,0.9398496240601504,0.20903010033444816,0.8505056890012642,0.9970359392367544
0.86,0.6238782132535619,0.3305785123966942,0.9375,0.20066889632107024,0.849163774061218,0.9970359392367544
0.865,0.6226487505948849,0.32827586206896553,0.937007874015748,0.19899665551839466,0.8488958990536277,0.9970359392367544
0.87,0.6201803505662193,0.3236514522821577,0.936,0.1956521739130435,0.8483606557377049,0.9970359392367544
0.875,0.6152052791998343,0.3143254520166898,0.9338842975206612,0.18896321070234115,0.8472921914357683,0.9970359392367544
0.88,0.6114400634122882,0.30726256983240224,0.9322033898305084,0.18394648829431437,0.8464926077382825,0.9970359392367544
0.885,0.6053992206125947,0.29577464788732394,0.9375,0.17558528428093645,0.8452119309262166,0.9974064468321601
0.89,0.6041196271268903,0.2933709449929478,0.9369369369369369,0.17391304347826086,0.8449466415568111,0.9974064468321601
0.895,0.6041196271268903,0.2933709449929478,0.9369369369369369,0.17391304347826086,0.8449466415568111,0.9974064468321601
0.9,0.5976708404074703,0.28125,0.9339622641509434,0.16555183946488294,0.8436226888122845,0.9974064468321601
0.905,0.591420826319043,0.2693409742120344,0.94,0.15719063545150502,0.8423522051923679,0.9977769544275658
0.91,0.5877340887998828,0.2622478386167147,0.9479166666666666,0.15217391304347827,0.8416119962511716,0.9981474620229714
0.915,0.5877340887998828,0.2622478386167147,0.9479166666666666,0.15217391304347827,0.8416119962511716,0.9981474620229714
0.92,0.5864029209224939,0.2597402597402597,0.9473684210526315,0.1505016722408027,0.8413491567770144,0.9981474620229714
0.925,0.5823877695298691,0.25217391304347825,0.9456521739130435,0.1454849498327759,0.8405616224648986,0.9981474620229714
0.93,0.5772518229645981,0.24233576642335766,0.9540229885057471,0.13879598662207357,0.839563862928349,0.9985179696183771
0.935,0.5692826413446063,0.22713864306784662,0.9625,0.12876254180602006,0.8380478706869754,0.9988884772137829
0.94,0.5665060561400281,0.22189349112426035,0.9615384615384616,0.1254180602006689,0.8375271823547685,0.9988884772137829
0.945,0.5569094682723652,0.20359281437125748,0.9714285714285714,0.11371237458193979,0.8357607685156492,0.9992589848091886
0.95,0.5483083200746426,0.18731117824773413,0.96875,0.10367892976588629,0.8342097123414784,0.9992589848091886
0.955,0.5336421811664083,0.15950920245398773,0.9629629629629629,0.08695652173913043,0.8316373728029602,0.9992589848091886
0.96,0.5248394297263171,0.14263565891472868,0.9787234042553191,0.07692307692307693,0.8301538461538461,0.9996294924045943
0.965,0.5172032457171649,0.128125,0.9761904761904762,0.06856187290969899,0.8288786482334869,0.9996294924045943
0.97,0.5063211029670743,0.10742496050552923,0.9714285714285714,0.056856187290969896,0.8270999386879215,0.9996294924045943
